"switch" "arsenic" "dist" "assoc" "educ"
"2480" 1 2.16 114.147003173828 1 12
"2600" 1 1.3 20.386999130249 0 16
"2695" 0 0.95 54.8940010070801 1 4
"2367" 1 0.81 24.003999710083 1 10
"2912" 0 4.39 60.7080001831055 1 6
"2018" 0 0.74 48.8059997558594 0 5
"1024" 1 0.52 32.5309982299805 0 5
"2509" 1 0.85 18.5809993743896 0 15
"33" 1 1.37 105.625999450684 1 0
"1330" 1 0.84 21.2810001373291 0 0
"2850" 0 0.75 27.3190002441406 0 5
"2249" 1 2.6 8.10000038146973 1 5
"580" 1 0.66 23.3640003204346 0 5
"2929" 1 1.59 26.7819995880127 1 8
"2824" 0 1.34 157.936996459961 1 5
"285" 1 1.79 17.1399993896484 0 0
"835" 1 4.48 17.3320007324219 1 5
"579" 1 0.52 15.2950000762939 1 4
"1865" 1 1.11 8.76900005340576 1 5
"1198" 1 1.37 15.2980003356934 1 5
"1008" 0 0.83 23.3810005187988 1 0
"2867" 0 2.03 64.1510009765625 1 4
"2739" 0 3.02 136.126998901367 0 5
"1687" 1 3.48 22.2590007781982 0 16
"1422" 1 1.08 20.6110000610352 1 10
"1572" 1 3.75 33.9939994812012 0 6
"38" 1 2.74 107.69100189209 0 10
"1228" 1 NA 35.8720016479492 0 0
"2926" 1 0.91 89.1060028076172 0 2
"1165" 1 0.96 17.7670001983643 0 0
"1910" 1 1.83 55.3619995117188 1 5
"1490" 1 3.52 42.0870018005371 0 12
"578" 1 0.68 22.9549999237061 1 3
"2296" 1 0.98 15.3559999465942 1 0
"731" 0 0.91 14.0030002593994 1 5
"2158" 1 1.76 60.0519981384277 0 4
"745" 1 2.76 123.794998168945 0 8
"334" 1 1.49 20.9139995574951 0 12
"268" 1 1.96 76.0660018920898 0 7
"14" 1 3.21 73.6039962768555 1 0
"1042" 1 1.22 34.2820014953613 0 0
"594" 0 0.82 17.492000579834 1 5
"54" 1 1.01 71.7990036010742 1 5
"875" 1 0.7 16.5790004730225 1 5
"2754" 0 0.92 18.576000213623 1 5
"1468" 1 1.46 7.27699995040894 0 10
"15" 1 1.7 67.6549987792969 1 0
"136" 1 4.12 46.2400016784668 0 3
"607" 0 0.58 36.3930015563965 0 9
"3016" 0 0.52 19.3470001220703 1 5
"2906" 0 0.64 20.3250007629395 1 16
"1175" 0 1.23 39.7809982299805 0 0
"918" 0 0.85 24.3780002593994 1 8
"337" 1 1.44 52.2919998168945 0 0
"2527" 0 1.02 14.3629999160767 0 8
"1007" 1 0.55 11.456000328064 0 0
"2536" 0 1.15 22.5970001220703 1 5
"1189" 1 1.69 150.330993652344 0 0
"617" 1 1.1 131.77099609375 1 12
"1946" 1 3.66 10.0459995269775 0 5
"2388" 0 0.58 78.9779968261719 1 2
"1348" 0 1.23 35.601001739502 0 11
"1538" 1 3.56 55.4090003967285 0 0
"2163" 1 1.79 51.7150001525879 1 10
"2757" 1 0.57 33.3390007019043 0 10
"1269" 0 1.9 68.4229965209961 0 0
"2171" 1 0.9 34.8050003051758 0 0
"2823" 0 1.21 167.024993896484 0 16
"2312" 0 0.6 47.773998260498 0 8
"1507" 1 2.27 27.5389995574951 0 0
"2617" 0 0.57 14.8439998626709 1 1
"1230" 1 0.68 53.818000793457 0 0
"2443" 1 1.08 57.2400016784668 1 8
"2360" 1 2.22 14.3050003051758 0 10
"1151" 1 4.77 38.882999420166 0 5
"1072" 0 1.39 11.2089996337891 1 5
"537" 0 0.64 3.25200009346008 1 0
"1770" 1 2.56 48.9090003967285 1 7
"1291" 1 1.81 20.5170001983643 0 0
"755" 0 2.98 79.6750030517578 1 8
"862" 1 0.99 21.3729991912842 1 0
"552" 0 0.52 33.5779991149902 1 0
"1582" 1 3.28 68.5989990234375 0 10
"2698" 1 0.9 41.7789993286133 1 3
"2120" 1 1.73 47.9529991149902 0 12
"363" 1 1.51 81.2060012817383 0 5
"2712" 0 0.85 12.8839998245239 1 6
"1586" 0 2.98 70.4219970703125 1 5
"535" 1 3.84 3.25200009346008 0 0
"1384" 1 1.24 17.867000579834 0 0
"2645" 1 0.75 58.7960014343262 1 7
"848" 1 1.29 67.7880020141602 1 5
"414" 1 NA 135 1 10
"1353" 1 2.03 64.088996887207 1 8
"2853" 0 1.3 48.6839981079102 0 0
"446" 1 3.01 60.5610008239746 0 5
"2798" 0 1.9 27.4500007629395 0 0
"955" 0 1.46 34.0670013427734 0 0
"1626" 0 2.18 20.9370002746582 0 0
"661" 0 2.28 28.7390003204346 1 7
"1402" 1 0.61 26.5279998779297 0 0
"2701" 1 1.15 19.7600002288818 1 6
"1140" 0 0.91 38.931999206543 1 5
"2848" 1 1.17 6.15700006484985 0 12
"1334" 0 3.12 84.5869979858398 0 0
"987" 0 2.37 49.2980003356934 1 0
"1423" 1 1.28 19.8850002288818 1 2
"784" 0 1.32 80.1839981079102 1 6
"2860" 1 1.09 86.734001159668 1 12
"2502" 0 0.89 48.7610015869141 0 3
"2852" 1 1.37 20.9330005645752 0 5
"1049" 1 0.98 29.7159996032715 0 5
"1358" 1 2.29 144.708999633789 1 5
"521" 0 0.59 23.0990009307861 1 0
"1350" 1 1.71 57.701000213623 0 0
"1974" 1 0.8 34.8660011291504 0 14
"1205" 1 1.28 23.2670001983643 1 0
